menu,node_count,node_types,variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16,unique_keys,duplicate_keys
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_late,0.001715000,160000,93.294472,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,insert,0.013532001,160000,11.823824,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_success,0.005268000,160000,30.372057,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_early,0.004519000,160000,35.406065,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_late,0.002913000,160000,54.926192,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,insert,0.017043000,160000,9.388018,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_success,0.003007000,160000,53.209173,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_early,0.003518000,160000,45.480383,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_late,0.002037999,160000,78.508372,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,320000,1,32,10000,0,0,insert,0.036253001,320000,8.826856,320000,0,0,0,0,10041,10041,320000,20724624,7040000,27764624,86.764,5.000,5,0,1,10000,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,1,320000,0
