variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,47000,47,1000,0.0,lookup_absent,25,83.29307367999999,5.114337924378254,2.0048204663562754
node256_only,controlled_fanout,47000,47,1000,0.0,lookup_success,25,40.93894748,1.0045123348508935,0.39376883526155027
node256_only,controlled_fanout,48000,48,1000,0.0,insert,25,15.86299896,1.1834081876595344,0.4638960095625374
node256_only,controlled_fanout,48000,48,1000,0.0,lookup_absent,25,81.7901952,5.466968698532029,2.1430517298245553
node256_only,controlled_fanout,48000,48,1000,0.0,lookup_success,25,40.73888936,1.3519865450153,0.5299787256459976
node256_only,controlled_fanout,49000,49,1000,0.0,insert,25,16.07487552,0.7081431923967969,0.27759213141954436
node256_only,controlled_fanout,49000,49,1000,0.0,lookup_absent,25,83.09982864,4.3689018998563105,1.7126095447436736
node256_only,controlled_fanout,49000,49,1000,0.0,lookup_success,25,40.8701824,1.021362454232662,0.4003740820592035
node256_only,controlled_fanout,50000,5,10000,0.0,insert,25,4.894229,0.20441280839843026,0.08012982089218466
node256_only,controlled_fanout,50000,5,10000,0.0,lookup_absent,25,59.18489196,1.5209077702504532,0.5961958459381776
node256_only,controlled_fanout,50000,5,10000,0.0,lookup_success,25,18.70272932,1.1686041138098884,0.45809281261347623
node256_only,controlled_fanout,50000,50,1000,0.0,insert,25,12.5672388,2.4137643799442543,0.9461956369381477
node256_only,controlled_fanout,50000,50,1000,0.0,lookup_absent,25,67.09239168,7.7834334627084445,3.0511059173817103
node256_only,controlled_fanout,50000,50,1000,0.0,lookup_success,25,33.66388124,5.740616898176464,2.250321824085174
node256_only,controlled_fanout,56000,56,1000,0.0,insert,25,15.09808284,2.0102426810045366,0.7880151309537784
node256_only,controlled_fanout,56000,56,1000,0.0,lookup_absent,25,73.18807764,9.712189471927498,3.8071782729955794
node256_only,controlled_fanout,56000,56,1000,0.0,lookup_success,25,38.185796839999995,2.4933514584389322,0.9773937717080614
node256_only,controlled_fanout,60000,6,10000,0.0,insert,25,5.1536788,0.3186039418693161,0.12489274521277191
node256_only,controlled_fanout,60000,6,10000,0.0,lookup_absent,25,56.71591716,7.552382033200908,2.960533757014756
node256_only,controlled_fanout,60000,6,10000,0.0,lookup_success,25,18.30228384,1.0743844448544582,0.4211587023829476
node256_only,controlled_fanout,63000,63,1000,0.0,insert,25,15.91633204,0.8967133550597184,0.3515116351834096
node256_only,controlled_fanout,63000,63,1000,0.0,lookup_absent,25,77.76117135999999,4.951078371837302,1.9408227217602225
node256_only,controlled_fanout,63000,63,1000,0.0,lookup_success,25,39.4354262,1.2510166635873938,0.4903985321262584
node256_only,controlled_fanout,64000,64,1000,0.0,insert,25,15.518684760000001,1.2305615834102364,0.4823801406968126
node256_only,controlled_fanout,64000,64,1000,0.0,lookup_absent,25,74.61120384,5.496592229630901,2.154664154015313
node256_only,controlled_fanout,64000,64,1000,0.0,lookup_success,25,38.49358968,2.26222877625825,0.8867936802932339
node256_only,controlled_fanout,65000,65,1000,0.0,insert,25,15.909447720000001,1.1536352473091498,0.45222501694518674
node256_only,controlled_fanout,65000,65,1000,0.0,lookup_absent,25,77.4450474,5.264068475753885,2.0635148424955227
node256_only,controlled_fanout,65000,65,1000,0.0,lookup_success,25,39.15297652,1.4214863823066544,0.5572226618642084
node256_only,controlled_fanout,66000,66,1000,0.0,insert,25,16.11210704,1.0786917222869818,0.42284715513649684
node256_only,controlled_fanout,66000,66,1000,0.0,lookup_absent,25,76.0596392,5.364549524716087,2.102903413688706
node256_only,controlled_fanout,66000,66,1000,0.0,lookup_success,25,39.02954168,1.1634910264105944,0.4560884823529531
node256_only,controlled_fanout,70000,7,10000,0.0,insert,25,5.444987240000001,0.25418359578647076,0.09963996954829654
node256_only,controlled_fanout,70000,7,10000,0.0,lookup_absent,25,60.31683704,2.875680075169517,1.1272665894664506
node256_only,controlled_fanout,70000,7,10000,0.0,lookup_success,25,17.736797160000002,1.157814828490098,0.45386341276811837
node256_only,controlled_fanout,80000,8,10000,0.0,insert,25,5.82238132,0.26053211219664163,0.10212858798108351
node256_only,controlled_fanout,80000,8,10000,0.0,lookup_absent,25,58.46565148,4.746138016561169,1.860486102491978
node256_only,controlled_fanout,80000,8,10000,0.0,lookup_success,25,16.85858244,1.4636905778151483,0.5737667065035381
node256_only,controlled_fanout,80000,80,1000,0.0,insert,25,15.345296359999999,1.5551886658689218,0.6096339570206173
node256_only,controlled_fanout,80000,80,1000,0.0,lookup_absent,25,70.37731492,5.107421813054679,2.002109350717434
