variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count3_node4_node16_node256,uuid_fixture,8192,0,0,0,79.46,216760.0,434176.0,650936.0,3113.0,8192.0,4.007,7.0,0.0,2705.0,0.0,408.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,16384,0,0,0,81.205,462104.0,868352.0,1330456.0,5728.0,16384.0,4.223,7.0,0.0,4369.0,0.0,1359.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,32768,0,0,0,82.37100000000001,962440.0,1736704.0,2699144.0,10471.0,32768.0,4.428,7.0,0.0,6855.0,0.0,3616.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,65536,0,0,0,79.732,1751928.0,3473408.0,5225336.0,22957.0,65536.0,4.7,10.0,0.0,18473.0,0.0,4484.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,100000,0,0,0,79.273,2627328.0,5300000.0,7927328.0,37408.0,100000.0,4.881,10.0,0.0,32288.0,0.0,5120.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,words_fixture,4096,0,0,0,63.882,153688.0,107973.0,261661.0,2271.0,4096.0,7.882,18.0,0.0,2071.0,0.0,197.0,0.0,0.0,0.0,3.0,3
count3_node4_node16_node256,words_fixture,8192,0,0,0,64.952,317424.0,214659.0,532083.0,4450.0,8192.0,7.708000000000001,21.0,0.0,4032.0,0.0,405.0,0.0,0.0,0.0,13.0,3
count3_node4_node16_node256,words_fixture,16384,0,0,0,65.576,638416.0,435989.0,1074405.0,8947.0,16384.0,8.015,22.0,0.0,8102.0,0.0,819.0,0.0,0.0,0.0,26.0,3
count3_node4_node16_node256,words_fixture,32768,0,0,0,64.941,1270512.0,857474.0,2127986.0,16971.0,32768.0,7.666,22.0,0.0,15156.0,0.0,1746.0,0.0,0.0,0.0,69.0,3
count3_node4_node16_node256,words_fixture,65536,0,0,0,65.075,2531752.0,1733029.0,4264781.0,34424.0,65536.0,7.943,22.0,0.0,30923.0,0.0,3375.0,0.0,0.0,0.0,126.0,3
count3_node4_node16_node256,words_fixture,131072,0,0,0,65.306,5092832.0,3466906.0,8559738.0,68983.0,131072.0,7.931,22.0,0.0,62028.0,0.0,6689.0,0.0,0.0,0.0,266.0,3
count3_node4_node16_node256,words_fixture,235886,0,0,0,65.346,9146832.0,6267285.0,15414117.0,124256.0,235886.0,8.075,22.0,0.0,111616.0,0.0,12181.0,0.0,0.0,0.0,459.0,3
count4_original4,dense_uint64,4096,0,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,4
count4_original4,dense_uint64,8192,0,0,0,32.143,66704.0,196608.0,263312.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,4
count4_original4,dense_uint64,16384,0,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4
count4_original4,dense_uint64,32768,0,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,4
count4_original4,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,4
count4_original4,dense_uint64,131072,0,0,0,32.094,1060952.0,3145728.0,4206680.0,515.0,131072.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0,4
count4_original4,dense_uint64,262144,0,0,0,32.094,2121848.0,6291456.0,8413304.0,1029.0,262144.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1028.0,4
count4_original4,dense_uint64,524288,0,0,0,32.094,4243744.0,12582912.0,16826656.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,4
count4_original4,dense_uint64,1048576,0,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,4
count4_original4,sparse_uint64,4096,0,0,0,48.242,99296.0,98304.0,197600.0,385.0,4096.0,2.065,4.0,0.0,128.0,0.0,157.0,0.0,99.0,0.0,1.0,4
count4_original4,sparse_uint64,8192,0,0,0,48.103,197448.0,196608.0,394056.0,756.0,8192.0,2.126,4.0,0.0,499.0,0.0,1.0,0.0,255.0,0.0,1.0,4
count4_original4,sparse_uint64,16384,0,0,0,59.565,582704.0,393216.0,975920.0,2045.0,16384.0,2.231,4.0,0.0,1788.0,0.0,0.0,0.0,34.0,0.0,223.0,4
count4_original4,sparse_uint64,32768,0,0,0,50.34400000000001,863240.0,786432.0,1649672.0,6183.0,32768.0,2.397,4.0,0.0,5917.0,0.0,9.0,0.0,0.0,0.0,257.0,4
count4_original4,sparse_uint64,65536,0,0,0,47.222,1521888.0,1572864.0,3094752.0,17562.0,65536.0,2.634,4.0,0.0,17090.0,0.0,215.0,0.0,0.0,0.0,257.0,4
count4_original4,sparse_uint64,131072,0,0,0,47.534,3084680.0,3145728.0,6230408.0,39593.0,131072.0,2.8710000000000004,4.0,0.0,35957.0,0.0,3379.0,0.0,0.0,0.0,257.0,4
count4_original4,sparse_uint64,262144,0,0,0,48.652,6462448.0,6291456.0,12753904.0,61603.0,262144.0,2.9960000000000004,5.0,0.0,37340.0,0.0,24006.0,0.0,0.0,0.0,257.0,4
count4_original4,sparse_uint64,524288,0,0,0,44.647,10824960.0,12582912.0,23407872.0,73529.0,524288.0,3.03,5.0,0.0,14556.0,0.0,58545.0,0.0,171.0,0.0,257.0,4
count4_original4,sparse_uint64,1048576,0,0,0,48.107,25278536.0,25165824.0,50444360.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,31375.0,0.0,40280.0,0.0,25223.0,0.0,257.0,4
count4_original4,uuid_fixture,4096,0,0,0,79.682,109288.0,217088.0,326376.0,1426.0,4096.0,3.704,7.0,0.0,1143.0,0.0,283.0,0.0,0.0,0.0,0.0,4
count4_original4,uuid_fixture,8192,0,0,0,79.46,216760.0,434176.0,650936.0,3113.0,8192.0,4.007,7.0,0.0,2705.0,0.0,408.0,0.0,0.0,0.0,0.0,4
count4_original4,uuid_fixture,16384,0,0,0,81.205,462104.0,868352.0,1330456.0,5728.0,16384.0,4.223,7.0,0.0,4369.0,0.0,1359.0,0.0,0.0,0.0,0.0,4
count4_original4,uuid_fixture,32768,0,0,0,82.37100000000001,962440.0,1736704.0,2699144.0,10471.0,32768.0,4.428,7.0,0.0,6855.0,0.0,3616.0,0.0,0.0,0.0,0.0,4
count4_original4,uuid_fixture,65536,0,0,0,79.732,1751928.0,3473408.0,5225336.0,22957.0,65536.0,4.7,10.0,0.0,18473.0,0.0,4484.0,0.0,0.0,0.0,0.0,4
count4_original4,uuid_fixture,100000,0,0,0,79.273,2627328.0,5300000.0,7927328.0,37408.0,100000.0,4.881,10.0,0.0,32288.0,0.0,5120.0,0.0,0.0,0.0,0.0,4
count4_original4,words_fixture,4096,0,0,0,62.851000000000006,149464.0,107973.0,257437.0,2271.0,4096.0,7.882,18.0,0.0,2071.0,0.0,197.0,0.0,3.0,0.0,0.0,4
count4_original4,words_fixture,8192,0,0,0,62.717,299120.0,214659.0,513779.0,4450.0,8192.0,7.708000000000001,21.0,0.0,4032.0,0.0,405.0,0.0,13.0,0.0,0.0,4
count4_original4,words_fixture,16384,0,0,0,63.342,601808.0,435989.0,1037797.0,8947.0,16384.0,8.015,22.0,0.0,8102.0,0.0,819.0,0.0,26.0,0.0,0.0,4
