variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
original4,dense_uint64,65536,1,0,0,0,17,lookup_success,0.001784000,65536,36.735426,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,17,lookup_absent,0.000224200,65536,292.310436,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,18,insert,0.003750000,65536,17.476267,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,18,lookup_success,0.001674500,65536,39.137653,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,18,lookup_absent,0.000200500,65536,326.862842,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,19,insert,0.003694600,65536,17.738321,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,19,lookup_success,0.001670900,65536,39.221976,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,19,lookup_absent,0.000188700,65536,347.302597,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,20,insert,0.003707000,65536,17.678986,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,20,lookup_success,0.001674800,65536,39.130642,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,20,lookup_absent,0.000189900,65536,345.107952,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,21,insert,0.003698500,65536,17.719616,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,21,lookup_success,0.001675900,65536,39.104959,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,21,lookup_absent,0.000182800,65536,358.512034,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,22,insert,0.003862100,65536,16.969006,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,22,lookup_success,0.001673000,65536,39.172744,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,22,lookup_absent,0.000198800,65536,329.657947,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,23,insert,0.003710300,65536,17.663262,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,23,lookup_success,0.001672500,65536,39.184454,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,23,lookup_absent,0.000177200,65536,369.841987,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,24,insert,0.003793300,65536,17.276777,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,24,lookup_success,0.001667600,65536,39.299592,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,24,lookup_absent,0.000188600,65536,347.486743,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,0,insert,0.006105900,65536,10.733225,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,0,lookup_success,0.001583200,65536,41.394644,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,0,lookup_absent,0.000240300,65536,272.725760,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,1,insert,0.004414000,65536,14.847304,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
