variant,workload,n,seed,run,operation,seconds,visited,scans,mops_per_sec,scans_per_sec,avg_entries_per_scan,prefix_len,fanout_target,groups,keys,bytes_per_key,internal_node_bytes,total_bytes,avg_leaf_depth,max_leaf_depth
node256_only,dense_uint64,4096,1,5,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,6,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,7,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,8,iter_full,0.000029400,12288,3,417.959104,102040.796934,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,9,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,0,iter_prefix,0.005184800,2097152,512,404.480790,98750.192866,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,1,iter_prefix,0.004562600,2097152,512,459.639679,112216.718558,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,2,iter_prefix,0.005116500,2097152,512,409.880192,100068.406200,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,3,iter_prefix,0.005418900,2097152,512,387.006957,94484.120390,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,4,iter_prefix,0.003807800,2097152,512,550.751615,134460.843540,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,5,iter_prefix,0.005034000,2097152,512,416.597537,101708.382963,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,6,iter_prefix,0.005034000,2097152,512,416.597537,101708.382963,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,7,iter_prefix,0.004933300,2097152,512,425.101250,103784.484902,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,8,iter_prefix,0.003840200,2097152,512,546.104890,133326.389282,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,9,iter_prefix,0.003904500,2097152,512,537.111538,131130.746533,4096.000000,6,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,0,iter_prefix,0.000476500,131072,512,275.072404,1074501.579382,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,1,iter_prefix,0.000328900,131072,512,398.516265,1556704.158407,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,2,iter_prefix,0.000321500,131072,512,407.688963,1592535.011731,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,3,iter_prefix,0.000321500,131072,512,407.688954,1592534.975690,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,4,iter_prefix,0.000321500,131072,512,407.688954,1592534.975690,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,5,iter_prefix,0.000535600,131072,512,244.719942,955937.272845,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,6,iter_prefix,0.000322000,131072,512,407.055901,1590062.112447,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,7,iter_prefix,0.000322100,131072,512,406.929524,1589568.453889,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,8,iter_prefix,0.000321600,131072,512,407.562193,1592039.816721,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,9,iter_prefix,0.000321600,131072,512,407.562193,1592039.816721,256.000000,7,0,0,4096,32.566406,35088,133392,8.000,8
original4,dense_uint64,16384,1,0,iter_full,0.000121600,49152,3,404.210520,24671.052251,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,1,iter_full,0.000116900,49152,3,420.461924,25662.959253,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,2,iter_full,0.000116900,49152,3,420.461951,25662.960850,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,3,iter_full,0.000117000,49152,3,420.102579,25641.026528,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,4,iter_full,0.000117100,49152,3,419.743794,25619.128077,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,5,iter_full,0.000118700,49152,3,414.085925,25273.799149,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,6,iter_full,0.000156100,49152,3,314.875075,19218.449387,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,7,iter_full,0.000091600,49152,3,536.593850,32751.089461,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,8,iter_full,0.000092200,49152,3,533.101974,32537.962264,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,9,iter_full,0.000117100,49152,3,419.743820,25619.129668,16384.000000,0,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,0,iter_prefix,0.017461600,8388608,512,480.403170,29321.482567,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,1,iter_prefix,0.016189500,8388608,512,518.151147,31625.436243,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,2,iter_prefix,0.016595400,8388608,512,505.477903,30851.922815,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,3,iter_prefix,0.015804200,8388608,512,530.783463,32396.451583,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,4,iter_prefix,0.015867600,8388608,512,528.662684,32267.009505,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,5,iter_prefix,0.015893300,8388608,512,527.807818,32214.832669,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,6,iter_prefix,0.015856500,8388608,512,529.032763,32289.597322,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,7,iter_prefix,0.016157600,8388608,512,519.174135,31687.874446,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,8,iter_prefix,0.015680600,8388608,512,534.967285,32651.811805,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
original4,dense_uint64,16384,1,9,iter_prefix,0.019097400,8388608,512,439.253930,26809.932242,16384.000000,6,0,0,16384,32.188477,134160,527376,8.000,8
