variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
count6_paper6,sparse_uint64,4096,0,0,2,iter_prefix,25,26.07333764,1.8942723603989275,24312114.4396132,1739163.5594550527,1.0724222,0.7425547652763795,681752.1153063807
count6_paper6,sparse_uint64,16384,0,0,0,iter_full,25,66.30835932,3.3531417107314154,4047.1410725200003,204.659525341122,16384.0,1.3144315506067148,80.22653393371982
count6_paper6,sparse_uint64,16384,0,0,1,iter_prefix,25,73.34482032,3.357608769827862,1122933.1294748401,51985.183179695036,65.31703128,1.3161826377725219,20378.191806440453
count6_paper6,sparse_uint64,16384,0,0,2,iter_prefix,25,21.638604439999998,2.2701084204465154,17021891.583268918,1812479.751070326,1.2714842,0.889882500815034,710492.0624195677
count6_paper6,sparse_uint64,65536,0,0,0,iter_full,25,72.56815996,3.794955064172657,1107.30224676,57.90641826885932,65536.0,1.4876223851556813,22.699315961392852
count6_paper6,sparse_uint64,65536,0,0,1,iter_prefix,25,77.26840696000001,3.348359684557773,300841.17731148,13006.54140992654,256.84000008,1.312556996346647,5098.564232691204
count6_paper6,sparse_uint64,65536,0,0,2,iter_prefix,25,25.05416472,2.519272089932403,12825134.3020506,1290902.4175261513,1.95359376,0.9875546592535018,506033.7476702513
count6_paper6,sparse_uint64,262144,0,0,0,iter_full,25,60.82011388,7.802657577159562,232.01032136,29.764777054608146,262144.0,3.058641770246548,11.667792605406394
count6_paper6,sparse_uint64,262144,0,0,1,iter_prefix,25,50.07859948,3.5767940290841924,48779.366098039995,3484.1103429821983,1026.63523452,1.4021032594010034,1365.7712544490219
count6_paper6,sparse_uint64,262144,0,0,2,iter_prefix,25,16.05166176,3.4945717928530873,3241571.8155737603,706768.8306154751,4.95187504,1.3698721427984102,277053.3816012662
count6_paper6,sparse_uint64,1048576,0,0,0,iter_full,25,35.30198632,1.0144106529857921,33.66659788,0.9674173920544547,1048576.0,0.39764897597043053,0.37922761768534624
count6_paper6,sparse_uint64,1048576,0,0,1,iter_prefix,25,41.45081492,2.5335684347167495,10120.96198384,618.2660171867005,4095.53507804,0.9931588264089658,242.36027873718663
count6_paper6,sparse_uint64,1048576,0,0,2,iter_prefix,25,20.146470360000002,1.036537662850538,1186590.91901448,61273.32305964221,16.97867188,0.40632276383741095,24019.142639379745
count6_paper6,uuid_fixture,4096,0,0,0,iter_full,25,162.14668251999998,13.06428615651839,39586.592401120004,3189.5229637580464,4096.0,5.121200173355208,1250.2930017931542
count6_paper6,uuid_fixture,4096,0,0,2,iter_prefix,25,90.60099444,7.251045393289131,5384603.844041199,430250.46600103826,16.826015560000002,2.842409794169339,168658.18267240698
count6_paper6,uuid_fixture,4096,0,0,4,iter_prefix,25,16.314259,1.286624817644891,15146320.240910958,1193140.0940549124,1.07710944,0.5043569285167973,467710.9168695257
count6_paper6,uuid_fixture,16384,0,0,0,iter_full,25,106.81317152,2.699565953788852,6519.35861572,164.76842898269106,16384.0,1.05822985388523,64.5892241612149
count6_paper6,uuid_fixture,16384,0,0,2,iter_prefix,25,98.4284514,3.3942496132362883,1517782.59782576,52381.049645944055,64.85023444000001,1.330545848388625,20533.371461210067
count6_paper6,uuid_fixture,16384,0,0,4,iter_prefix,25,13.66868064,1.3603727475000145,10646564.9885718,1073175.1824137007,1.2840624399999998,0.5332661170200057,420684.67150617065
count6_paper6,uuid_fixture,65536,0,0,0,iter_full,25,84.60435471999999,4.807946043355317,1290.96000276,73.36343414289419,65536.0,1.8847148489952843,28.75846618401452
count6_paper6,uuid_fixture,65536,0,0,2,iter_prefix,25,87.02175419999999,4.488251294333425,338251.25687888,17416.690498625616,257.26843756,1.7593945073787025,6827.342675461242
count6_paper6,uuid_fixture,65536,0,0,4,iter_prefix,25,18.46766396,1.9880936172389387,8904273.55458164,925849.8982398309,2.07343744,0.779332697957664,362933.1601100137
count6_paper6,uuid_fixture,100000,0,0,0,iter_full,50,65.05852568,13.151562166874815,650.58525704,131.5156211742434,100000.0,3.6454270462263016,36.45427032519329
count6_paper6,uuid_fixture,100000,0,0,2,iter_prefix,50,64.74251938,9.603462727459462,165111.76695668002,24492.533594910936,392.11406244,2.6619440580438662,6788.983944613133
count6_paper6,uuid_fixture,100000,0,0,4,iter_prefix,50,16.46790734,5.070847226133013,6480593.59800804,1992088.398543486,2.54078128,1.4055671403041818,552178.7324105942
count6_paper6,words_fixture,4096,0,0,0,iter_full,25,112.06671904000001,8.162084064238066,27360.03886484,1992.696288554886,4096.0,3.1995369531813216,781.1369451135154
count6_paper6,words_fixture,4096,0,0,1,iter_prefix,25,158.57205396,18.192041083995214,50082.36849228,5793.461170950284,3166.5206252000003,7.131280104926124,2271.0367790125115
count6_paper6,words_fixture,4096,0,0,2,iter_prefix,25,151.0164442,12.751183225350664,213881.98192792,18221.166176182513,706.1498438399999,4.99846382433746,7142.697141063545
count6_paper6,words_fixture,16384,0,0,0,iter_full,25,69.14079756,1.4688652287823858,4220.0193834,89.65241740648652,16384.0,0.5757951696826952,35.14374762334272
count6_paper6,words_fixture,16384,0,0,1,iter_prefix,25,94.89612416,2.8921522427201682,7807.74882152,245.4680638239309,12154.501093840001,1.133723679146306,96.2234810189809
count6_paper6,words_fixture,16384,0,0,2,iter_prefix,25,108.15740904,2.796918014734679,84853.6741106,2341.856974641326,1275.0271875600001,1.0963918617759942,918.0079340593996
count6_paper6,words_fixture,65536,0,0,0,iter_full,25,48.38172568,7.691538683911464,738.24654748,117.36356667002183,65536.0,3.015083164093294,46.00651813464855
count6_paper6,words_fixture,65536,0,0,1,iter_prefix,25,64.93896751999999,1.209506581392668,5700.23320688,117.48913296831923,11393.355390600002,0.4741265799059258,46.05574012358114
count6_paper6,words_fixture,65536,0,0,2,iter_prefix,25,66.65825796,2.5877254397827114,34051.449594,1395.0257950691241,1957.7959374000002,1.0143883723948228,546.8501116670966
count6_paper6,words_fixture,235886,0,0,0,iter_full,50,29.21258956,5.700978310418475,123.84198094,24.168362221420434,235886.0,1.5802305656961773,6.699128224240151
count6_paper6,words_fixture,235886,0,0,1,iter_prefix,50,46.97163244,4.846505480199221,4021.991101,421.2826946130254,11680.74578128,1.3433827809218006,116.77360526170537
count6_paper6,words_fixture,235886,0,0,2,iter_prefix,50,42.473746899999995,3.4023836335874074,16624.756578279997,1346.2525445950948,2555.1810937600003,0.9430926274870503,373.1621669613519
count7_2_5_16_32_48_64_256,controlled_fanout,1000,1,1000,0,iter_full,25,293.99893968,42.04899689390126,293998.93966676,42048.99693739562,1000.0,16.483206782409294,16483.206799459083
count7_2_5_16_32_48_64_256,controlled_fanout,1000,1,1000,4,iter_prefix,25,26.637411240000002,3.579285198244864,26637411.25504712,3579285.1580806877,1.0,1.4030797977119867,1403079.7819676294
count7_2_5_16_32_48_64_256,controlled_fanout,2000,2,1000,0,iter_full,25,194.32333408,22.117737885634607,97161.66702676,11058.868922428706,2000.0,8.670153251168767,4335.076617592053
count7_2_5_16_32_48_64_256,controlled_fanout,2000,2,1000,4,iter_prefix,25,46.186500640000006,4.044387582677785,23093250.27875,2022193.7646867298,2.0,1.5853999324096917,792699.955757198
count7_2_5_16_32_48_64_256,controlled_fanout,3000,3,1000,0,iter_full,25,227.06274112,18.46105194251005,75687.58036972,6153.683966874131,3000.0,7.236732361463939,2412.2441150146597
count7_2_5_16_32_48_64_256,controlled_fanout,3000,3,1000,4,iter_prefix,25,60.30610316,6.697352488135496,20102034.42310424,2232450.83784693,3.0,2.6253621753491143,875120.7284359966
count7_2_5_16_32_48_64_256,controlled_fanout,4000,4,1000,0,iter_full,25,241.33578572,24.087741368463565,60333.94644324,6021.935346898777,4000.0,9.442394616437717,2360.598655984321
count7_2_5_16_32_48_64_256,controlled_fanout,4000,4,1000,4,iter_prefix,25,77.49139428000001,3.552442034720465,19372848.578676082,888110.4879831848,4.0,1.3925572776104223,348139.3112894084
count7_2_5_16_32_48_64_256,controlled_fanout,5000,5,1000,0,iter_full,25,263.77807260000003,19.559907004270364,52755.61451860001,3911.981426449896,5000.0,7.667483545673983,1533.4967191683593
count7_2_5_16_32_48_64_256,controlled_fanout,5000,5,1000,4,iter_prefix,25,90.63416476,6.827399628337153,18126832.9512176,1365479.9331777405,5.0,2.676340654308164,535268.1338056743
count7_2_5_16_32_48_64_256,controlled_fanout,6000,6,1000,0,iter_full,25,250.01880988000002,13.834594799497864,41669.80163688,2305.7657888622875,6000.0,5.423161161403163,903.8601892340166
count7_2_5_16_32_48_64_256,controlled_fanout,6000,6,1000,4,iter_prefix,25,95.64017076,7.389382657682869,15940028.447140401,1231563.7732444832,6.0,2.896638001811685,482772.9991118374
count7_2_5_16_32_48_64_256,controlled_fanout,7000,7,1000,0,iter_full,25,258.07850188,18.470168878300765,36868.3574126,2638.595560961783,7000.0,7.240306200293899,1034.329459897019
count7_2_5_16_32_48_64_256,controlled_fanout,7000,7,1000,4,iter_prefix,25,106.40529332,7.847573047610671,15200756.1879154,1121081.858966914,7.0,3.076248634663383,439464.08871503023
count7_2_5_16_32_48_64_256,controlled_fanout,8000,8,1000,0,iter_full,25,259.0600698,24.14346528728255,32382.50872232,3017.9331549225076,8000.0,9.464238392614758,1183.029796729623
count7_2_5_16_32_48_64_256,controlled_fanout,8000,8,1000,4,iter_prefix,25,109.36065196,10.775241069088331,13670081.5059814,1346905.1392827982,8.0,4.2238944990826255,527986.8145988568
count7_2_5_16_32_48_64_256,controlled_fanout,10000,1,10000,0,iter_full,25,306.28675924,14.316304196257114,30628.67592292,1431.6304261616833,10000.0,5.6119912449327884,561.1991270553798
count7_2_5_16_32_48_64_256,controlled_fanout,10000,1,10000,4,iter_prefix,25,33.43938188,4.139229349361821,33439381.896972362,4139229.3670580084,1.0,1.6225779049498334,1622577.9118867393
count7_2_5_16_32_48_64_256,controlled_fanout,10000,10,1000,0,iter_full,25,263.69757216,19.430802442766375,26369.75720716,1943.0802449661508,10000.0,7.616874557564418,761.6874560267311
count7_2_5_16_32_48_64_256,controlled_fanout,10000,10,1000,4,iter_prefix,25,122.64438692,8.130895172936766,12264438.69664952,813089.5176557704,10.0,3.187310907791212,318731.090921062
count7_2_5_16_32_48_64_256,controlled_fanout,12000,12,1000,0,iter_full,25,272.37957716,12.79591367543106,22698.29809572,1066.3261461569148,12000.0,5.015998160768975,417.9998492935106
count7_2_5_16_32_48_64_256,controlled_fanout,12000,12,1000,4,iter_prefix,25,128.7488108,11.92483824334624,10729067.5580916,993736.5164941981,12.0,4.6745365913917265,389544.71446572564
count7_2_5_16_32_48_64_256,controlled_fanout,15000,15,1000,0,iter_full,25,277.69588668,14.17908518297623,18513.05911016,945.2723413848728,15000.0,5.558201391726682,370.5467578228701
count7_2_5_16_32_48_64_256,controlled_fanout,15000,15,1000,4,iter_prefix,25,143.4233428,7.845841687724172,9561556.18625808,523056.1147629776,15.0,3.075569941587875,205037.99698708722
count7_2_5_16_32_48_64_256,controlled_fanout,16000,16,1000,0,iter_full,25,275.92414252,14.089729545960568,17245.25890484,880.6081000037584,16000.0,5.523173982016543,345.1983752014733
count7_2_5_16_32_48_64_256,controlled_fanout,16000,16,1000,4,iter_prefix,25,138.28263808,13.049004565906326,8642664.875423841,815562.7906972371,16.0,5.11520978983528,319700.61395331693
count7_2_5_16_32_48_64_256,controlled_fanout,17000,17,1000,0,iter_full,25,270.48272371999997,20.38528938437508,15910.74845888,1199.1346726391782,17000.0,7.991033438675032,470.06079167455783
count7_2_5_16_32_48_64_256,controlled_fanout,17000,17,1000,4,iter_prefix,25,140.99123408,4.95524769166147,8293602.004775081,291485.1609473188,17.0,1.9424570951312963,114262.18309134894
