variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count2_node16_node256,uuid_fixture,4096,0,0,0.0,lookup_success,10,35.9327592,1.6609004157535103,1.029436742978333,2
count2_node16_node256,uuid_fixture,16384,0,0,0.0,insert,10,7.8802367,0.6821038191087024,0.42277232714026464,2
count2_node16_node256,uuid_fixture,16384,0,0,0.0,lookup_absent,10,300.66056,42.0081100870253,26.036896382522436,2
count2_node16_node256,uuid_fixture,16384,0,0,0.0,lookup_success,10,25.962823500000002,3.0351593874483846,1.8812112782917603,2
count2_node16_node256,uuid_fixture,65536,0,0,0.0,insert,10,5.6308597,0.8724589824813861,0.540755679743968,2
count2_node16_node256,uuid_fixture,65536,0,0,0.0,lookup_absent,10,122.5133736,7.988266346160712,4.951178777148026,2
count2_node16_node256,uuid_fixture,65536,0,0,0.0,lookup_success,10,13.214146099999999,4.85894611636258,3.011606004124117,2
count2_node16_node256,uuid_fixture,100000,0,0,0.0,insert,20,4.2788683,0.3711630796468824,0.16266939185840512,2
count2_node16_node256,uuid_fixture,100000,0,0,0.0,lookup_absent,20,126.05687175,17.843065387303263,7.820068198064806,2
count2_node16_node256,uuid_fixture,100000,0,0,0.0,lookup_success,20,6.19717025,0.8535368999210456,0.374079039787467,2
count2_node16_node256,words_fixture,4096,0,0,0.0,insert,10,5.7913209000000005,0.680966626401756,0.4220674877981379,2
count2_node16_node256,words_fixture,4096,0,0,0.0,lookup_absent,10,298.8000047,32.358790118019336,20.05618590365681,2
count2_node16_node256,words_fixture,4096,0,0,0.0,lookup_success,10,13.7349122,1.3741884462406486,0.8517308231840265,2
count2_node16_node256,words_fixture,16384,0,0,0.0,insert,10,5.979760499999999,0.22319318230241225,0.1383365676021741,2
count2_node16_node256,words_fixture,16384,0,0,0.0,lookup_absent,10,250.326199,66.11948241757172,40.98127978159266,2
count2_node16_node256,words_fixture,16384,0,0,0.0,lookup_success,10,11.8682284,0.44656720104399406,0.27678521879056733,2
count2_node16_node256,words_fixture,65536,0,0,0.0,insert,10,4.096424300000001,0.7607966558851396,0.4715466526919318,2
